Date,Year,Month,MonthName,Account,Category,Note,Type,Amount,SignedAmount
,,,,CUB - online payment,Food,Zinger box meal,Expense,279.0,-279.0
,,,,CUB - online payment,Other,From vicky,Income,300.0,300.0
,,,,CUB - online payment,Other,From dad,Income,1500.0,1500.0
,,,,CUB - online payment,Food,Snacks,Expense,115.0,-115.0
,,,,CUB - online payment,Other,Vishnu 100 gowdham 25,Income,125.0,125.0
,,,,CUB - online payment,Food,Paani poori,Expense,25.0,-25.0
,,,,CUB - online payment,Food,Kfc date with myself,Expense,259.0,-259.0
,,,,CUB - online payment,Food,Lemon tea,Expense,18.0,-18.0
,,,,CUB - online payment,Transportation,Train to vnr,Expense,325.0,-325.0
,,,,CUB - online payment,Food,Snack,Expense,40.0,-40.0
,,,,CUB - online payment,Food,Lunch with company,Expense,133.0,-133.0
,,,,CUB - online payment,Food,Pepsi,Expense,40.0,-40.0
,,,,CUB - online payment,Food,Dinner,Expense,465.0,-465.0
,,,,CUB - online payment,Food,Sent to vicky,Expense,300.0,-300.0
,,,,CUB - online payment,Food,Lunch,Expense,302.0,-302.0
,,,,CUB - online payment,Other,From vicky,Income,310.0,310.0
,,,,CUB - online payment,Food,Snacks with preethi and azar,Expense,176.0,-176.0
,,,,CUB - online payment,Social Life,Badminton,Expense,200.0,-200.0
,,,,CUB - online payment,Other,From dad,Income,2000.0,2000.0
,,,,CUB - online payment,Food,Lunch with company,Expense,188.0,-188.0
,,,,CUB - online payment,Food,Snacks,Expense,37.0,-37.0
,,,,CUB - online payment,Other,From vicky,Income,200.0,200.0
,,,,CUB - online payment,Food,Lunch + chocolate for preethi,Expense,171.0,-171.0
,,,,CUB - online payment,Food,Dinner,Expense,301.15,-301.15
,,,,CUB - online payment,Food,Snack with preethi,Expense,59.0,-59.0
,,,,CUB - online payment,Food,Lunch with company,Expense,148.0,-148.0
,,,,CUB - online payment,Other,To kumara,Expense,200.0,-200.0
,,,,CUB - online payment,Other,From dad,Income,1000.0,1000.0
,,,,CUB - online payment,Food,Eve snack,Expense,100.0,-100.0
,,,,CUB - online payment,Transportation,Bus to Bangalore,Expense,1365.0,-1365.0
,,,,CUB - online payment,Other,From dad,Income,1500.0,1500.0
,,,,CUB - online payment,Food,Snacks,Expense,70.0,-70.0
,,,,CUB - online payment,Other,Kumara,Income,170.0,170.0
